잔여좌석,전체좌석,사용중,년,월,일,시간,요일코드,열람실 ID,Exam_Flag,Holiday_Flag,Post_Holiday_Flag,EMA_Short,EMA_Periodic
189,375,186,2025,10,3,20,4,1,0,1,0,0.496,0.496
206,375,169,2025,10,3,21,4,1,0,1,0,0.45066666666666666,0.45066666666666666
233,375,142,2025,10,3,22,4,1,0,1,0,0.37866666666666665,0.37866666666666665
250,375,125,2025,10,3,22,4,1,0,1,0,0.3333333333333333,0.3333333333333333
284,375,91,2025,10,3,23,4,1,0,1,0,0.24266666666666667,0.24266666666666667
294,375,81,2025,10,3,23,4,1,0,1,0,0.216,0.216
375,375,0,2025,10,4,6,5,1,0,1,0,0.0,0.0
374,375,1,2025,10,4,6,5,1,0,1,0,0.0026666666666666666,0.0026666666666666666
374,375,1,2025,10,4,7,5,1,0,1,0,0.0026666666666666666,0.0026666666666666666
372,375,3,2025,10,4,7,5,1,0,1,0,0.008,0.008
371,375,4,2025,10,4,8,5,1,0,1,0,0.010666666666666666,0.010666666666666666
367,375,8,2025,10,4,8,5,1,0,1,0,0.021333333333333333,0.021333333333333333
362,375,13,2025,10,4,9,5,1,0,1,0,0.034666666666666665,0.034666666666666665
352,375,23,2025,10,4,10,5,1,0,1,0,0.06133333333333333,0.06133333333333333
353,375,22,2025,10,4,10,5,1,0,1,0,0.058666666666666666,0.058666666666666666
333,375,42,2025,10,4,11,5,1,0,1,0,0.112,0.112
316,375,59,2025,10,4,12,5,1,0,1,0,0.15733333333333333,0.15733333333333333
305,375,70,2025,10,4,12,5,1,0,1,0,0.18666666666666668,0.18666666666666668
289,375,86,2025,10,4,13,5,1,0,1,0,0.22933333333333333,0.22933333333333333
273,375,102,2025,10,4,13,5,1,0,1,0,0.272,0.272
264,375,111,2025,10,4,14,5,1,0,1,0,0.296,0.296
260,375,115,2025,10,4,14,5,1,0,1,0,0.30666666666666664,0.30666666666666664
240,375,135,2025,10,4,15,5,1,0,1,0,0.36,0.36
238,375,137,2025,10,4,15,5,1,0,1,0,0.36533333333333334,0.36533333333333334
241,375,134,2025,10,4,16,5,1,0,1,0,0.35733333333333334,0.35733333333333334
249,375,126,2025,10,4,16,5,1,0,1,0,0.336,0.336
232,375,143,2025,10,4,17,5,1,0,1,0,0.38133333333333336,0.38133333333333336
228,375,147,2025,10,4,17,5,1,0,1,0,0.392,0.392
231,375,144,2025,10,4,18,5,1,0,1,0,0.384,0.384
229,375,146,2025,10,4,18,5,1,0,1,0,0.3893333333333333,0.3893333333333333
230,375,145,2025,10,4,19,5,1,0,1,0,0.38666666666666666,0.38666666666666666
230,375,145,2025,10,4,19,5,1,0,1,0,0.38666666666666666,0.38666666666666666
239,375,136,2025,10,4,20,5,1,0,1,0,0.3626666666666667,0.3626666666666667
240,375,135,2025,10,4,20,5,1,0,1,0,0.36,0.36
260,375,115,2025,10,4,21,5,1,0,1,0,0.30666666666666664,0.30666666666666664
278,375,97,2025,10,4,22,5,1,0,1,0,0.25866666666666666,0.25866666666666666
285,375,90,2025,10,4,22,5,1,0,1,0,0.24,0.24
312,375,63,2025,10,4,23,5,1,0,1,0,0.168,0.168
319,375,56,2025,10,4,23,5,1,0,1,0,0.14933333333333335,0.14933333333333335
374,375,1,2025,10,5,6,6,1,0,1,0,0.0026666666666666666,0.0026666666666666666
374,375,1,2025,10,5,6,6,1,0,1,0,0.0026666666666666666,0.0026666666666666666
